id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
16375985,"Very central, bright, fun, AC, Rambla Catalunya",5878688,Eixample,la Dreta de l'Eixample,41.39124687,2.166218149,Entire home/apt,160,2,348
16377878,Double bedroom in the heart of BCN,107265762,Eixample,Sant Antoni,41.38260215,2.162619069,Private room,40,2,0
16377944,Fabulous 5 Star Apartment Sagrada Familia,8274597,Eixample,la Sagrada Família,41.40254346,2.172396882,Entire home/apt,149,3,151
16377991,50m2 Studio in a sXVIII palace in Gothic quarter,10015871,Ciutat Vella,el Barri Gòtic,41.38028622,2.178256168,Private room,65,4,0
16378393,LOVELY FOR BIG GROUPS! 3 Double rooms,103252275,Sants-Montjuïc,Sants - Badal,41.37642419,2.127482319,Entire home/apt,73,4,0
16382795,回家的感觉,71667398,Sant Martí,el Besòs i el Maresme,41.41800666,2.21232758,Private room,40,1,0
16384420,Modern Apartment Barcelona-Sants,97797707,Sants-Montjuïc,Sants,41.37478023,2.132645344,Entire home/apt,108,4,107
16384978,Confort Apartment Barcelona-Sants.,97797707,Sants-Montjuïc,Sants,41.37493722,2.132823871,Entire home/apt,68,3,93
16385573,Vivienda a 100m de Sagrada Família con todo,67921501,Eixample,la Sagrada Família,41.4029931,2.177536191,Private room,61,32,88
16385602,Fancy Apartment Barcelona-Sants,97797707,Sants-Montjuïc,Sants,41.37495877,2.134005223,Entire home/apt,114,3,90
16386312,Upper Quiet Apartment Barcelona-Sants,97797707,Sants-Montjuïc,Sants,41.37484425,2.133269655,Entire home/apt,60,4,88
16386645,Charming Apartment Barcelona-Sants,97797707,Sants-Montjuïc,Sants,41.37577183,2.133198186,Entire home/apt,160,3,147
16387031,Awesome Apartment with city views,27514370,Sant Martí,el Clot,41.41027573,2.187247015,Entire home/apt,70,32,235
16387129,YH6/3-Berna BJ1|New Cozy Apartment Design,14979846,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40686059,2.146089367,Entire home/apt,55,32,140
16387159,Fantastic Duplex best located,23226762,Ciutat Vella,el Barri Gòtic,41.38431262,2.171765576,Entire home/apt,66,31,365
16388020,En el centro de Barcelona,5735370,Eixample,la Dreta de l'Eixample,41.39876219,2.166111367,Entire home/apt,70,31,193
16388095,Habitación 1,79253366,Eixample,la Sagrada Família,41.404196,2.17634768,Private room,32,1,29
16390841,Penthouse Apartment Barcelona-Sants,97797707,Sants-Montjuïc,Sants,41.37619551,2.134163467,Entire home/apt,114,3,102
16394548,"Relaxing house in the forest, Barcelona",107397916,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42857997,2.093666861,Entire home/apt,75,5,0
16399245,Mediterranean Apartment with Big Terrace,28043451,Sants-Montjuïc,Sants,41.37486949,2.133296539,Entire home/apt,95,3,326
16401572,Brightly Familiar near Sagrada Familia,107453570,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40385627,2.166778147,Entire home/apt,121,4,274
16401764,Modernista Luxury Apartment VI - Gaudí follower,7843388,Eixample,l'Antiga Esquerra de l'Eixample,41.3901979,2.158471398,Entire home/apt,75,32,214
16402671,Eixample/ Espectacular apartamento  HUTB-004824,107461286,Eixample,la Nova Esquerra de l'Eixample,41.38976715,2.143662896,Entire home/apt,140,3,329
16402682,Welcoming double room in the heart of Born,31780333,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38362479,2.18333049,Private room,29,5,0
16403800,Art House Borrell B,21483975,Eixample,Sant Antoni,41.37890895,2.160313116,Entire home/apt,90,3,339
16405178,Sunny & beautiful Eixample apartment :D,6184290,Eixample,la Nova Esquerra de l'Eixample,41.38719251,2.150881136,Entire home/apt,57,2,216
16409036,Comfortable Bedroom in Bohemian Gracia,469805,Gràcia,la Vila de Gràcia,41.40119066,2.160281679,Private room,37,3,0
16409938,NEW¡¡ Lovely and modern apartment in Diagonal Mar,107523371,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40725081,2.205293488,Entire home/apt,75,32,365
16412674,Loft Duplex en Gracia,107549376,Gràcia,la Vila de Gràcia,41.40173396,2.164109561,Entire home/apt,70,32,364
16414675,4 bedrooms for 7 people. Perfect for families,299462,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39609185,2.150982527,Entire home/apt,200,4,338
16420876,Amplia y luminosa habitación doble en Les Corts,10011042,Les Corts,les Corts,41.38459582,2.13321538,Private room,40,2,73
16424669,"Double bedroom in Gracia, Room No. 3",45187194,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40621987,2.16497145,Private room,50,2,364
16424722,Modern Apartment!,106907544,Sants-Montjuïc,Hostafrancs,41.37377135,2.143122179,Entire home/apt,50,2,296
16425293,Duplex Blue in La Sagrera,71240609,Sant Andreu,la Sagrera,41.42048405,2.189187932,Entire home/apt,35,31,72
16425445,Duplex Red  in La Sagrera,71240609,Sant Andreu,la Sagrera,41.42071638,2.190589307,Entire home/apt,33,31,72
16425528,Cozy apartment Diagonal Mar,54320669,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.41003519,2.210451194,Entire home/apt,80,1,361
